full_text;
konflik Israel-Palestina.;jufrianofac
konflik Israel-Palestina. Dia menyatakan bahwa Amerika Serikat akan terus berkomitmen untuk mendukung upaya perdamaian di kawasan tersebut. 🕊 ️ 🌍;indahprnmsri100
@rebirth134340 Eits;
orang Palestina tewas dalam serangan udara Israel selama konflik terbaru ini. Kita harus terus berjuang untuk perdamaian dan keadilan bagi rakyat Palestina.;__daniusgiawa
Kesehatan Mental Peserta Didik di Palestina: Dampak Konflik Israel dan Analisis Psikologis Pendidikan dan Belajar → https://t.co/fNc31qxLQO https://t.co/RZUS8o6AsA;VNNcoid
@AyaniMel Saya kira permasalahan Palestina;
@_palungmariana Padahal konflik Palestina-Israel bukan karena SARA;
Konflik Israel Palestina tidak akan pernah berhenti;
Syekh Mohammad bin Abdul Karim Al-Issa Konflik Pelestina Gagalnya Manusia  https://t.co/QMfKjoh8rm - Sekretaris Jenderal Liga Muslim Dunia (MWL) ini menyebut perang di Palestina sebagai b  Baca Selengkapnya : https://t.co/yPq3gflnva  Tanggal : 28 November 2023;aula_media
Kemudian sekarang aku penasaran;
Zulhas menuturkan;
Yang sampe detik ini berkata palestina adalah konflik muslim vs yahudi;
Konflik Israel-Palestina: Sejarah singkat dalam peta dan grafik @cnbcindonesia @CNNIDdaily @CNNIndonesia @kompascom @KompasTV @NewsTvone @tvOneNews @Bawaslu @bawaslu_RI @BBCIndonesia @Gerindra @PDI_Perjuangan @neohistoria_id @Liputan6SCTV @geloraco https://t.co/cFX8BL5oDf;SalwaNadira12
https://t.co/LAISgAzgmB   Menteri Luar Negeri RI Retno Marsudi mengungkapkan bahwa Pemerintah Indonesia telah mengirimkan bantuan kemanusiaan dalam dua tahap untuk mendukung warga Palestina yang menjadi korban konflik di Gaza.;Alurinfo_Ind
Presiden AS Joe Biden Serukan Solusi Dua Negara untuk Konflik Israel-Palestina https://t.co/kNRw3qDtZL;VIVAcoid
@OmJ_JeNggot Kalo begini jadinya menurut saya yg bahagia malah si zionis Israel Krn berhasil mengadu antara umat Islam dan Kristen (padahal palestina bukan konflik agama);
Sejumlah Negara Serukan Solusi 2 Negara untuk Selesaikan Konflik Israel-Palestina https://t.co/Pq9GZCKSkc;kompascom
Konflik antara Palestina dan Israel sudah terjadi setahun sebelum Israel mendeklarasikan diri menjadi sebuah negara. Nasib warga Palestina kian menyedihkan setelah 75 tahun mengalami kekerasan dan pengusiran oleh Israel. @topanyuniarto #Kompaspedia https://t.co/N3NDwt3JiN;KompasData
Indonesia bukan Palestina. Jd kalau ada warga Indonesia yg mendoakan sebaliknya;
Gencatan senjata Israel dan Hamas diperpanjang dua hari lagi. 20 sandera Israel akan dibebaskan pada masa perpanjangan jeda pertempuran. Sementara;
Solidaritas Palestina;
@RandomWorldWar di sini seperti ditampakkan bahwa sasaran konflik memancing isu SARA di sini adalah mengangkat tuduhan bahwa isu palestina membangkitkan terorisme di sini;
@kegblgnunfaedh Daripada ngomongin konflik isriil dan Palestina;
"@polresta_manado @poldasulut_ @DivHumas_Polri mesti tegas dalam menghadapi demo konflik Palestina khususnya untuk orang atau ormas yg membawa bendera Israel karena  TIDAK DIIZINKAN MENGIBARKAN BENDERA ISRAEL"" di Wilayah NKRI, sesuai BAB X Angka 151 Huruf c Permenlu No.3/2019."";_lukifachrizal";
@wangrenjunie @noskele_gnadap @Greschinov Gausah digubris kak;
keamanan. Konflik antara Israel dan Palestina terus berlanjut;
keamanan. Situasi ini menunjukkan betapa kompleksnya konflik antara Israel dan Palestina. Semoga kedua belah pihak dapat mencari solusi damai yang saling menguntungkan. 🕊 ️ 🤝;GalangAdit1y
@never_alonely konflik di Palestina adalah konflik pendudukan zionist israel di tanah Palestina;
@voodooackerman @hamzahthegrey @DeHoutman_id jadi israel penjajah yah...baca baik2 sejarah konflik israel palestina dr berbagai sumber..baik dr yg pro dan kontara..jangan cuma dr satu sumber..mulai dr berdirinya kerajaan israel sampai saat ini..dan kesampingkan faktor agama..anda akan kesimpulannya..salam....;Joubert25972539
@Greschinov yg katanya ga boleh ngait2in konflik Palestina-Israel sama sentimen agama 🤷🏻‍♀️🤷🏻‍♀️;bonappetitoiu
terjebak di antara konflik ini. Semoga perdamaian segera tercapai dan kehidupan rakyat Palestina dapat kembali normal.;SajayaSarn0
@MprAldo Aduh.. Manusia tua goblok ini. Orang seperti dialah yang memicu konflik... Saya orang hindu tapi saya punya nurani untuk membela Palestina atas nama kemanusiaan;agus_bijox
@sausntartar @tanyarlfes pahami asal-usul terjadinya konflik;
@SiMeongPuss @Aldrich6996 @arc_stray Dia bukan hindu itu;
@MprAldo Kekerasan dilawan kekerasan akan menjadikan pertikaian tidak pernah berakhir. Sama dengan konflik di Timur Tengah. Jangan membawa konflik Palestina - Israel ke tanah air Indonesia. Tidak ada manfaatnya.;AryaAsya4
Sangat mengharukan dan melegakan bahwa Hamas dan Israel sepakat memperpanjang jeda kemanusiaan di Gaza. Semoga ini membuka jalan damai dan penyelesaian politik konflik Palestina-Israel. Solusi dua negara harus kembali menjadi agenda utama.;Aminuddin001
Salah satu penyebab konflik di Palestina-Israhell dari sisi Ekonomi &amp  Politik;
Jusuf Kalla Pimpin Silaturahmi Lintas Umat Bahas Konflik Palestina - Israel Hingga Bentrok Bitung;TuitMakassar
Semoga konflik di Bitung segera selesai &amp  Indonesia kembali Damai;
Tanggapi Tragedi Bitung;
"Inilah akibat-nya, saat eksekutif dan legislatif, gagal"" menterjemahkan posisi dukungan-nya kepada palestina.  Yg terbaca oleh masyarakat saat ini, konflik palestina lebih bnyk ditunggangi kepentingan populis utk kampanye pileg dan pilpres.  Strategi politik yg menjijikkan."";merdekadong";
@jamal_dien89680 @SoftWarNews Setuju..selain proyek terusan Gurion ada 1 lg proyek The Line milik KSA yg digadang2 sbg proyek mercusuar kota masa depan di wilayah Neom Pdhl sejatinya proyek itu akal2 an barat biar KSA teralihkan dr konflik Palestina dan menjauh dr dunia Arab &amp  Islam;Neerwan01
Tanggapi Tragedi Bitung;
Pemkot Surabaya membuka posko untuk bantu korban perang di Gaza Palestina.  Bantuan tersebut merupakan bentuk solidaritas dan kepedulian pemkot terhadap para korban konflik di Gaza Palestina.  Selengkapnya klik link dibawah⬇: https://t.co/HehKakRdvV;kliknetwork
@gee2405 @Muhammad_nsyam @neohistoria_id Konflik di palestina sudah dari 1948;
"@aniesbaswedan gak boleh. kita belum sampai pada titik dimana kita bisa take side"" di konflik palestina-israel ini kenapa? sekarang musim pemilu, issue dikit aja bisa bikin rame, bertengkar.  nah, bagaimana kalau pihak israel geram, dan mereka melancarkan serangan ke bangsa kita? mengadu domba"";cxzdeer";
Masya Allah.. di balik konflik yg menimpa Palestina tetap Allah berikan hikmah hingga akhirnya membawa syiar bagi seluruh alam dengan keteguhan iman mereka di tengah serangan tiada henti. Semoga Allah senantiasa menjaga kita dalam keimanan kepada-Nya 🤲🏼;moussemuse
Pro Palestina dan Israel Bentrok di Bitung;
@antiteorix @Pecel_Lele5678 Manado itu masih Indonesia abang yg berakhlaq &amp  berbudi luhur..indonesia berhutang kemerdekaan kpd Palestina..disna sdh bukan lagi konflik agama tp kemanusiaan..salahnya dmn aksi damai bela Palestina?;git_buddy
@tvOneNews Konflik Israel vs Palestina harus segera di hentikan . PBB ( perserikatan bangsa bangsa) yg anggotanya ratusan negara berkewajiban untuk menghentikan konflik yg berkepanjangan.;IiiYendrawati
"Jadi mbak ini bahas soal kesamaan yang terjadi di palestina saat ini dengan hal yg terjadi di congo.. Dari hal yg mbak ini temukan.. Konflik yg terjadi di congo bermula dari Uganda dan Rwanda yang menuduh bahwa di DRC ini adalah kelompok teroris"".. Sama kan dengan alasan israel+ https://t.co/aX8JrftD86"";is_HANAA_29";
Kencengin doa dan jangan pernah berhenti speak up fakta2 gaes buat saudara2 kita di Palestina;
@CNNIndonesia Hoax ...bahwa konflik Palestina dan Israel adalah konflik agama dan bukan konflik politik tentang penjajahan dan pendudukan tanah Palestina;manramino
@Uki23 Bitung masalah ormas yang lagi unjuk Gigi aja.. Kebetulan lg ada konflik Israel vs Palestina..;EdiBorlan
Tapi…yg sering persekusi minoritas kok tiba2 jadi pembela HAM? 🤭  Ketum PBNU: Jangan Bawa Konflik di Palestina Jadi Isu Pertentangan Agama;
Ketua Umum PBNU Yahya Cholil Staquf meminta agar masyarakat tidak membawa konflik Palestina dan Israel ke dalam isu pertentangan agama. Menurutnya;
Mau Tanya Yang Satu Hanya Buat Video Dukung Israel Yahudi Dan Ancaman Bunuh Umat Islam Di Palestina Sdng Yg Satu Tokoh Ormas Manguni Dan Buat Konflik Di Bitung N Jatuh Korban  Tapi Yg Satu langsung Gercep Sedang Tokoh Manguni Sampai Skrg Kok Belum Di Tangkap Ya? @DivHumas_Polri https://t.co/PgrWE22ugg;dhemit_is_back
@Msimsims2ND @Rofrofzee Dalam sejarah dunia;
@hipohan Satu satunya ketidakpahaman mereka adl konflik Israel dan Palestina dimaknai oleh sebagian teman Kristen sbg konflik agama. Bahkan ada pendeta yg terang terangan bela Israel. Tapi ayolah jangan kita tiup api ini lebih besar. Percayakan kepada polisi;manramino
Jadikan i'tibar;
@kegblgnunfaedh Bagi orang fanatik dan kurang literasi;
Miris ya;
@radixwp2023 @JjaayLabs Sebenernya susah juga kalo bahas konflik ini dari sejarah menurutku kang;
genosida palestina sama congo belum selesai;
Menteri Luar Negeri RI Retno Marsudi mengatakan Pemerintah Indonesia telah mengirimkan dua tahap bantuan kemanusiaan untuk warga Palestina yang menjadi korban konflik di Gaza.  https://t.co/A9XevTYoZD;antaranews
@geloraco https://t.co/Lyq5cfdQsp Literasi dan ketidakpahaman membuat mereka menganggap konflik Israhell dan Palestina adalah konflik  agama. Sekali lagi ini adalah konflik politik tentang penjajahan dan pengusiran warga Palestina dari tanah mereka;manramino
Ketum PBNU: Konflik Palestina-Israel Dipicu Pelanggaran Konsensus Internasional https://t.co/7Ccerfd0Jz;abadikinicom
@kaeckaaa @dinokyaa @tanyarlfes kalo seinget ak dlu pas sd tahun 2010-2014 an sering ikut pengajian trs jg byk yg bahas tentang konflik israel dan palestina dan salah satunya ada suriah yg jd terget utama mereka kl ga salah;sadbabykeys
PBNU menyatakan two-state solution atau solusi dua negara untuk mengakhiri konflik antara Israel dan Hamas Palestina bukan hal mustahil. https://t.co/WMmOXv9C6o;InvestorID
@tvOneNews Loh kok jd umat Islam yg terkesan di sudut kan. Situ waras? Aksi bela Palestine itu aksi kemanusiaan karena di Palestina itu bukan cmn agama Islam dan yg ikut aksi pun bukan cmn agama Islam. Karena ulah Genk Manguni lah shingga aksi damai kemanusiaan bela Palestine mnjdi konflik;54h4b4tl4m4
@SammiSoh inti persoalan konflik Israel-Palestina itu adalah pengusiran pada buyutnya orang Palestina pada 1948 yang mengakibatkan orang Palestina ngungsi puluhan tahun sampai saat ini https://t.co/xcAjQ9XT3D;TheFaredan
20. Peran PBB dalam Menyelesaikan Konflik Israel-Palestina  https://t.co/yB8yTFf06P #KlinikSepekan;klinikhukum
Terlepas dari konflik yang terjadi;
Air Hujan Jadi Barang Terlarang bagi Warga Palestina;
@qwertyouipsn Gitulah kalo g mau baca ttg sejarah konflik palestina israel;
Konflik palestina vs israel itu konflik agama. Itu poin utama dan sampai kapanpun itu terkait agama. Bukan kemanusiaan.;cetilcetot
PBNU: Masyarakat Jangan Kaitkan Konflik Palestina-Israel dengan Bentrok di Bitung - https://t.co/orqM4fX8sa https://t.co/XGc8bXA6nn;beritamanado
PBNU Imbau Masyarakat Tak Kaitkan Konflik Palestina-Israel dengan Bentrok di Bitung - https://t.co/mLIABNLRLn https://t.co/y3MWLux8fF;beritamanado
@Avolanza SIAPA ingin cari solusi bagi konflik MUSLIM ARAB PALESTINA vs YAHUDI ZIONIS ISRAEL;
@tvOneNews Tendensius sekali ini orang;
@03__nakula Kayaknya baru sekarang soal palestina israel jadi konflik horisontal disini. Ada asing main kah????;yugipork73
Warga Minahasa jaga Persatuan Jangan Mau di Adu Domba.dgn SARA.konflik Palestina Adalah Konflik Politik.  Jaga Persatuan Di tanah Minahasa.jaga NKRI jaga Pancasila. Ini Amanat Para Tuama Minahasa. Jangan mau di Provokasi Oleh Mereka yg bukan MINAHASA. #Bitung #Manado https://t.co/asQ2ICgJOn;enot_inot
@tanyarlfes konflik genosida banyak bukan cuman palestina dan kongo. myanmar;
Kapolri Jenderal Listyo Sigit Prabowo merespons soal konflik ormas yang terjadi di Bitung;
@elharta29 Berarti mnh msh keneh ka plotwist ku media wa..mun selama ini perang di gaza ngan saukur hamas vs zionis..ukuran saacan tgl 7 oktober teu ditingali atuh..pdhl saacan perang ieu..ribuan warga palestina didzalimi (rek hamas memerangi atau henteu)..pahami konflik eta we heula wa;elherviza
@Beritasatu Tidak ada konflik paklik;
Menlu Retno Marsudi Ingatkan PR Sangat Besar untuk Akhiri Konflik Palestina-Israel https://t.co/h9TL93RAnb;VIVAcoid
@tvOneNews Palestina itu soal kemanusiaan;
Ketum PBNU: Jangan Bawa Konflik di Palestina Jadi Isu Pertentangan Agama;
Ratusan Yahudi Ortodoks anti-zionis bergabung dalam unjuk rasa besar-besaran kemarin di Ottawa;
Orang waras ingin berpikir bukan konflik agama.Tapi zionis Israel merasa Palestina tanah yg dijanjikan ;
Gus Yahya: Isu Palestina Jangan Dibawa ke Konflik Antaragama https://t.co/8Q36ZkSLUr;Beritasatu
BAHAYA BANGET NIH..! Ketum PBNU Tanggapi Bentrokan di Bitung: Jangan Bawa Konflik di Palestina Jadi Isu Pertentangan Agama https://t.co/x73LSrSwAP via @BERGELORA.COM https://t.co/2Tg4oPueht;bergeloralah
Aneh yaa org indo;
[FULL] Jokowi Singgung Konflik Israel-Palestina saat Buka R20 ISORA NU https://t.co/UvJYkzk3aX;KompasTV
@PelatihBart @dandyez Seluruh dunia nyatakan konflik  Israel Palestina bukan Agama;
@tvOneNews Si jokiwo ama ibu melu redmo pak yang getol banget pengen konflik di palestina terjadi juga di indonesia..;udinkampreto
@neohistoria_id Harapan saya di tahun 2024. Semoga pemilu 2024 berjalan lancar tanpa kecurangan. Dan semoga konflik Israel-Palestina segera berakhir dengan kemerdekaan untuk Palestina. Terakhir;
PBNU Dorong Nilai Agama Jadi Solusi Menyelesaikan Konflik Global: PBNU menyerukan semua pihak mencari solusi berkelanjutan untuk menyelesaikan konflik global;
Penegakan Hukum Merupakan Solusi agar Tidak Terjadi Konflik Berkepanjangan.   Mengganggu Aksi Solidaritas Palestina secara Tak Langsung Menentang Kebijakan Pemerintah yang Tegas Mendukung Kemerdekaan Palestina.;OperaSaboen
Tanggapi Tragedi Bitung;
Pemkot Surabaya Kirim Bantuan untuk Korban Konflik di Gaza Palestina https://t.co/PKnJYBRVga;SurabayaHolic
PBNU minta masyarakat tidak bawa isu Palestina menjadi konflik agama https://t.co/pdL4C7h21c;Antara_Jabar
"Ketua Umum Pengurus Besar Nahdlatul Ulama (PBNU) Yahya Cholil Staquf meminta masyarakat agar tidak membawa isu konflik di Palestina menjadi konflik antaragama di Indonesia.  Kita minta supaya masyarakat ini tidak membawa isu tentang konflik di Palestina ke dalam isi pertentangan… https://t.co/7e9plEEUOU"";tvOneNews";
@Desiles177 @wss_wgs @SammiSoh kyknya yg IQ jongkok itu lu sih. Saudi dan Amerika jg masih bantu Palestina. Tapi mereka di sisi Israel dalam hal konflik Israel vs Hamas.;Polsektbsari1
Dari Babeh Aldo blm brojol kedunia yg fana ini Palestina-Israel sdh konflik ;
Singgung Konflik Palestina-Israel hingga Muslim;
@s3mut1reng jangan sampai konflik israel Palestina menyulut pertengkaran dalam negri;IDNTimesSumut
[FULL] Jokowi Singgung Konflik Israel-Palestina saat Buka R20 ISORA NU - YouTube https://t.co/fMeMyHWJ5x;bonilla_jakob
@alisyarief @mohmahfudmd Iya tuh biar adil;
PAN menyatukan umat dalam doa bersama;
Ketum PBNU: Jangan Bawa Konflik di Palestina Jadi Isu Pertentangan Agama;
PBNU menggelar R20 ISORA untuk mengajak pemuka agama mencari solusi atas permasalahan global;
Kami semua mengerti;
“Ada kebutuhan mendesak dari saudara-saudara kita di Gaza sebagai korban konflik di Palestina;
"Inisiatif PAN menggabungkan spiritualitas dan kepedulian terhadap konflik di Palestina menunjukkan tanggung jawab sosial.""  #PAN #PartaiAmanatNasional #Te12dePAN #Bluesquad https://t.co/wZmmhX0j49"";chanzyeolk";
"PAN melalui kegiatan ini mengingatkan akan pentingnya dukungan untuk penyelesaian konflik di Palestina.""  #PAN #PartaiAmanatNasional #Te12dePAN #Bluesquad https://t.co/noTunhEXg9"";cakrawartacom";
@AyaniMel Kita tdk memoermasalahkan yahudi  israel yg sdh hidup di tanah palestina ;
@kang_agoenk @Tita83079013 Ku  tanya ke kau;
Bahkan menurutnya;
Warga Palestina Sabar menunggu giliran di pompa bensin ketika pasokan bahan bakar baru didatangkan setelah 48 hari konflik Palestina-Israel di Gaza. https://t.co/SqLdzf2M42;temmycr7
@4_karakter @neohistoria_id Kalo dibilang bukan konflik agama juga aneh. karena dari sekian banyak wilayah tanah yg ditawarkan kepada mereka tapi tetep aja maunya di Palestina  Padahal isinya kebanyakan gurun doang dan iklimnya panas untuk ukuran mereka yg berasal dari Eropa  Apa enaknya tinggal disitu ?;kawalkyai
Konflik di tanah Palestina dengan Israel yang telah berlangsung puluhan tahun itu semakin memanas sejak 7 Oktober 2023 lalu. https://t.co/oUvJAEHe0P;OmJ_JeNggot
Harus cepat damai si atau gencatan senjata. Pengaruhnya kalo tegang terus menyebabkan konflik sosial;
Pada 2006 tentara IDF berpaspor Israel dan Prancis;
Konflik Israel - Hamas/Palestina;
Situasi Terkini Yerusalem;
@Wisnuhid @hildagomest @__bibelll FYI;
memilih untuk fokus pada perjuangan melawan penjajah Israel daripada terlibat dalam konflik internal Palestina. Semoga gencatan senjata ini dapat membawa kedamaian dan keadilan bagi rakyat Palestina.;sahijabcom
@MadristaTe32569 @INA_NKRI @bnsphrxyzzz org kristen byk yg dukung palestine;
Syahadat Massal  Melihat Ketabahan dan Keyakinan Rakyat Palestina atas Pertolongan Allah Dalam Perjuangan di Konflik Palestina israel banyak menimbulkan Rasa Keingintahuan Masyarakat eropa tentang Islam  dan Mereka Berbondong bondong untuk pindah keyakinan https://t.co/VhD2wh8L40;alexa_putri00
Kalo benar parah ini. Udh paling bener rakyat indonesia kurangi kepeduliannya memihak Palestina maupun Israel dan berpikir lbh kritis.  Sayangnya banyak yg cara berpikirnya udh ngawur luar biasa gara2 konflik di TimTeng;sidik_bulet
Teroris Hamas dikejar habis2an di jauh sana Konflik palestina bangkitkan sel tidur teroris Sudah pada beringas rusuh di negeri sendiri  Provokasi mancing massa;
@risesknight121 Laskar Manguni itu kumpulan manusia2 yang kurang literasi. Akibatnya tidak mengerti dimana posisi umat nasrani dalam konflik Palestina-Israel dn tidak mampu membedakan antara konflik agama dan perjuangan melawan hegemoni penjajah zionis terhadap Palestina.;ww2773
@MadristaTe32569 @INA_NKRI @bnsphrxyzzz jangan pake agama kristen untuk mengkonter pendukung israel;
@dhiyaudd1n43800 @HusinShihab Apa buktinya ? Bullshit !!  Stiap ada eskalasi konflik Israel - Palestina;
Presiden Jokowi menanggapi konflik Palestina-Israel yang memakan belasan ribu korban jiwa dari kelompok masyarakat sipil. Menurut Jokowi;
adalah sebuah merek es krim yang berasal dari Amerika Serikat. Meskipun tidak ada keterkaitan langsung antara Baskin Robbins dengan isu politik seperti konflik Israel-Palestina;
@pahmihmd @elf9505 Kok gak demo arab saudi bang. Berdasarkan data jumlah orang yaman yg dibantai arab saudi dalam satu dekade ini lebih banyak lho dari jumlah korban konflik israel palestina. Gak pernah tuh ada demo berjuta juta di kedubes arab saudi. Atau mungkin pada takut kualat kali ya bang?;erakinimedia
Serangkaian Pertanyaan Konflik Israel-Palestina yang Bikin Kepala Pusing  https://t.co/U98inqhevb  #radarjabar #Konflik #GenocideinPalestine #Palestina #Israel #Hamas #gaza #yahudi;RSikumbang9
*membahas konflik Palestina*;maafkan_bapak
@el_avraham Prihatin. Dengan seabrek thread edukasi mengenai konflik Israel-Palestina di X/twitter masih belum cukup ternyata. Penumpang gelap selalu ada mas.;radarjabar_id
tinggal diam dan akan terus mendukung Palestina dalam melawan agresi Israel. Solidaritas internasional sangat penting untuk mengakhiri konflik ini.;estananto
Hari ini sedang berlangsung pertemuan ISORA (International Summit of Religious Authorities) yg diselenggarakan oleh PBNU. 30 delegasi tokoh2 antara agama dari berbagai dunia datang sbg peserta. Tema: membahas konflik Palestina. Dibuka oleh Pres. Jokowi. https://t.co/CEEpZuj5cF;i_steal_ur_meme
Pada hari ke-3 kunjungan kerjanya di Athena;
Konflik Palestina - Israel kembali memanas pada awal Oktober 2023.  Menurut laporan Military Balance 2023 dari International Institute for Strategic Studies kekuatan militer dua kubu ini sangat timpang.  Bagaimana letak ketimpangan tersebut? Simak infografik berikut. #Israel https://t.co/PcZlwSHzAO;ulil
@a_firdaus_acho @IATeam___ Mereka orang2 yg menentang dan berlawanan pandangan dengan negara Indonesia trkait konflik Palestina dan Teroris israel adalah para pelaku makar dan teroris di negri ini;
Sejumlah negara di Timur Tengah (Timteng) menganggap politikus Belanda Geert Wilders asbun alias asal bunyi;
@democrazymedia sudahlah;
@Onl1Jb sudahlah;
Ada video seru;
@jansen_jsp @ListyoSigitP sudahlah;
@IATeam___ Siapapun yg bertentangan pandangan dengan pemerintah terkait konflik Palestina &amp  Teroris israel;
@ismailfahmi Konflik ini adalah  pupuk yang bagus bagi ekstrimis baik di pihak Palestina  dan Israel. Waspada bagi orang Islam jangan terjebak dengan HTI apalagi isis. . Agama yg dipimpin manusia biasa tidak berhak mengklaim sebagai pemimpin umat Islam se dunia.;VentaLabs
@mr_banan12 Jgn lah tragedi kemanusiaan di Palestina dijadikan bahan utk mecari keuntungan meraup suara dl pemilu... Bukan 1 atau 2 org aja yg bgtu peduli dgn konflik Palestina-Israhel.. apalagi merasa paling merasa berjasa bantu palestina...;ryanjacky2023
@sancezlincolin @TheFaredan @SammiSoh Kenyamanan gimana?Tepi barat saja msih ada gejolak mengenai pemukiman Israel juga;
Assalamu'alaikum sobat persada 🙏  Konflik yang terjadi di Palestina kini semakin memanas. Sudah ribuan nyawa terenggut.   #LAZPersada #Palestine #BABYMONSTER_DEBUT_DAY #CookingCrushSeriesEP1 #FreePalestineFromIsraeINOW #StrongGirlNamSoonEp16 https://t.co/jCU1YNWTj3;jhonaquy
@Pai_C1 Semoga bapak mendapatkan pelajaran dibalik semua yang ia lakukan. Dan semoga di jeruji sana ada orang baik yang mau menjelaskan konflik sebenarnya di Palestina.;firman__nurhuda
@CNNIndonesia Urusan Palestina;
@Greschinov Zionis juga melakukan berbagai tindakan kekerasan dan penjajahan terhadap rakyat Palestina;
@Muhammad_Saewad Calon Presiden stop komen konflik Palestina. Tidak usah pro ke salah satu negara. Ingat Pendukung Israel juga banyak di Indonesia.;KikuKrisan
…adanya konflik Israel dan Palestina;
perdamaian dunia dan memberikan dukungan untuk percepatan penyelesaian konflik di Israel dan Palestina.  Hal ini disampaikan di Hotel Grande Bretagne Athena;
Palestina cuma mempertahankan tanah dan rumahnya dari penjajah. Israel yg menjadikan ini konflik agama.;KemensetnegRI
langsung menyumbangkan sebagian keuntungan kepada korban konflik di Palestina. Mari kita dukung gerakan ini dengan berpartisipasi dalam penggalangan dana dan menyebarkan informasi tentang keadaan di Palestina.;KemensetnegRI
Satu dari sekian banyak hal yg mungkin bisa jadi refleksi kita dari konflik Palestina Israel ini adalah belajar sejarah itu penting. Huuuh. Supaya ga ahistoris. #Cielah.;adeantiko
@AhmadBarat @cut_aidafadilah Orang normal: membantu Palestina agar PBB &amp  AS menyetop perang di sana  Orang indog: Mempraktekan konflik di Palestina  🤡;mekha_rosyadi
@SammiSoh sudahlah bro;
Palestina dan Isriwil bukan konflik agama melainkan konflik agraria.;creativezvous
@PartaiSocmed Mau gak dibilang konflik agama tapi mereka yang belain israel semua alesannya karena agama  Kalau gak karena mereka menganggap israel bangsa pilihan tuhan Ya sesimpel kebencian mereka terhadap agama islam yang dianggap membela Palestina;tr4d0
Eh CNN Indo sama kek CNN luar gk sih? Sikap mereka dalam menghadapi konflik Palestina - Isriwil ini;OnlyFrens
@rezaperkusi @DeHoutman_id betul. semasa sukarno palestin blum merdeka. Palestina didiklair merdeka th 1988 oleh yaser arafat;
@kompascom @BosPurwa Innalillahi wa inna ilaihi rojiun..........kalo ini terkait perbedaan wacana ttg konflik palestina israel maka ini sdh masuk tahap fasis;
Jangan sampe konflik di palestina pindah kemari;
"@LtdAkbar Dan gw paling eneg kalo ada yg bilang konflik Israel &amp  Palestina itu adalah murni konflik politik.  Kalo murni konflik politik atau sebatas konflik kemanusiaan Israel ga akan pernah bawa2 tanah yang dijanjikan"" dalam propagandanya melawan palestina."";sin2023chan";
Serangkaian Pertanyaan Konflik Israel-Palestina yang Bikin Kepala Pusing  https://t.co/nGXHq5TgqV  Editor : Jabar ekspres / Yusuf Sidiq #jabarekspres #Konflik #Israel #PalestineFree #IsraelisGenocidalState #Palestine_Genocide;seeksixsuck
@sutanmangara ormas ini pendukung jokowi;
Ali;
Sama dgn Muslim Indonesia;
berada di dekat wilayah konflik di Palestina diprotes oleh sekelompok aktivis. Aksi protes ini dilakukan sebagai bentuk solidaritas terhadap rakyat Palestina yang sedang mengalami penderitaan akibat konflik tersebut.;fajrina_maya
@jansen_jsp Sebaiknya kalo mau demo soal konflik di Palestina jangan bawa2 agama dan simbol2 agama. Demonya atas nama kemanusiaan dan kemerdekaan aja. Lebih pas;lyndaibrahim
@MprAldo Konflik Israel-Palestina membuat kita tahu. Ternyata banyak org batak benci pada islam.;AnggiZulaikah
@jansen_jsp @ListyoSigitP Prihatin dgn Bitung. Dubes Palestina di Indonesia sdh menyatakan bahwa konflik di palestina itu bukan masalah agama tp masalah Israel merebut dan menduduki tanah palestina yg gk ada sangkut paut dgn Islam;
Sudah mulai provokasi konflik muslim Kristen akibat bentrok antara kelompok muslim pembela Palestina dan kelompok adat di Sulawesi Utara. Jangan pernah konflik Ambon dan Poso terulang.! https://t.co/LJh1dLa5Nc;makrete
@PartaiSocmed selain sudah menjadi konflik agama;
@Israel Akibat perang israel palestina banyak warga israel Dan palestina jadi janda dan anak yatim. Kalau israel cerdas konflik bisa diselesaikan melalui perundingan perdamaian saling menguntungkan tidak perlu ada korban perang antara palestina vs israel. Tentara tembak kepala netanyahu.;adearmando61
@goGando_psyco @Tan_Mar3M @MprAldo @mohmahfudmd Ternyata dia anak buah pak Joko 🤣🤣🤣 peta konflik sudah di siapkan pak Joko demi putranya;
TNI Angkatan Laut Peduli Korban konflik Gaza;
bayangin di serang sm banyak orang gt. kyk lu semua ngapain sih anjing. org2 kyk gt pasti gatau konflik yg ada di Palestina;Mayormpl44807
"@PartaiSocmed Yang nyeret kan @lilaccountz . Menggiring opini bahwa tidak ada salah apapun jika konflik Palestina - istai itu di justifikasi sebagai konflik agama  Masalahnya problem penjajahan itu bisa bias"" kalau hanya pakai satu isu, karena yang kena bantai itu kan memang bukan 1 agama aja"";ChairudinN6548";
@Lya2Lia @sharkieJ @tanyakanrl @Yoshida088 Sejak kapan konflik Palestina-Israel jadi konflik agama;
@dhiyaudd1n43800 @HusinShihab Dg sikon sebab akibat eskalasi konflik Israel - Palestina saat ini + kmunafikan mayoritas pro Palestina;
"Apalagi kalau banyak pihak luar yang juga tidak happy, dan mau cawe-cawe"" dengan menggunakan kesempatan isu-isu sosial di Indonesia yang sedang menghangat di tengah Pilpres dan juga konflik Palestina-Israel."";hdislan";
